200656,2006-06-27T21:00,Spain,France,1,3,Knock,FIFA World Cup Stadium, Hanover,Hanover
200657,2006-06-30T17:00,Germany,Argentina,1,1,Quarter,Olympiastadion,Berlin
200658,2006-06-30T21:00,Italy,Ukraine,3,0,Quarter,FIFA World Cup Stadium, Hamburg,Hamburg
200659,2006-07-01T17:00,England,Portugal,0,0,Quarter,FIFA World Cup Stadium, Gelsenkirchen,Gelsenkirchen
200660,2006-07-01T21:00,Brazil,France,0,1,Quarter,FIFA World Cup Stadium, Frankfurt,Frankfurt/Main
200661,2006-07-04T21:00,Germany,Italy,0,2,Semi,FIFA World Cup Stadium, Dortmund,Dortmund
200662,2006-07-05T21:00,Portugal,France,0,1,Semi,FIFA World Cup Stadium, Munich,Munich
200663,2006-07-08T21:00,Germany,Portugal,3,1,Third,Gottlieb-Daimler-Stadion,Stuttgart
200664,2006-07-09T20:00,Italy,France,1,1,Final,Olympiastadion,Berlin
200201,2002-05-31T20:30,France,Senegal,0,1,A,Seoul World Cup Stadium,Seoul
200203,2002-06-01T18:00,Uruguay,Denmark,1,2,A,Munsu Football Stadium,Ulsan
200202,2002-06-01T15:30,Republic of Ireland,Cameroon,1,1,E,Niigata Stadium Big Swan,Niigata
200204,2002-06-01T20:30,Germany,Saudi Arabia,8,0,E,Sapporo Dome,Sapporo
200207,2002-06-02T14:30,Argentina,Nigeria,1,0,F,Kashima Stadium,Ibaraki
200206,2002-06-02T16:30,Paraguay,South Africa,2,2,B,Busan Asiad Main Stadium,Busan
200205,2002-06-02T18:30,England,Sweden,1,1,F,Saitama Stadium 2002,Saitama
200208,2002-06-02T20:30,Spain,Slovenia,3,1,B,Gwangju World Cup Stadium,Gwangju
200210,2002-06-03T18:00,Brazil,Turkey,2,1,C,Munsu Football Stadium,Ulsan
200211,2002-06-03T20:30,Italy,Ecuador,2,0,G,Sapporo Dome,Sapporo
200209,2002-06-03T15:30,Croatia,Mexico,0,1,G,Niigata Stadium Big Swan,Niigata
200212,2002-06-04T15:30,China PR,Costa Rica,0,2,C,Gwangju World Cup Stadium,Gwangju
200213,2002-06-04T18:00,Japan,Belgium,2,2,H,Saitama Stadium 2002,Saitama
200214,2002-06-04T20:30,Korea Republic,Poland,2,0,D,Busan Asiad Main Stadium,Busan
200215,2002-06-05T15:30,Russia,Tunisia,2,0,H,Kobe Wing Stadium,Kobe
200216,2002-06-05T18:00,USA,Portugal,3,2,D,Suwon World Cup Stadium,Suwon
200217,2002-06-05T20:30,Germany,Republic of Ireland,1,1,E,Kashima Stadium,Ibaraki
200220,2002-06-06T15:30,Denmark,Senegal,1,1,A,Daegu World Cup Stadium,Daegu
200219,2002-06-06T18:00,Cameroon,Saudi Arabia,1,0,E,Saitama Stadium 2002,Saitama
200218,2002-06-06T20:30,France,Uruguay,0,0,A,Busan Asiad Main Stadium,Busan
200221,2002-06-07T15:30,Sweden,Nigeria,2,1,F,Kobe Wing Stadium,Kobe
200223,2002-06-07T20:30,Argentina,England,0,1,F,Sapporo Dome,Sapporo
200222,2002-06-07T18:00,Spain,Paraguay,3,1,B,Jeonju World Cup Stadium,Jeonju
200224,2002-06-08T15:30,South Africa,Slovenia,1,0,B,Daegu World Cup Stadium,Daegu
200226,2002-06-08T20:30,Brazil,China PR,4,0,C,Jeju World Cup Stadium,Jeju
200225,2002-06-08T18:00,Italy,Croatia,1,2,G,Kashima Stadium,Ibaraki
200228,2002-06-09T18:00,Costa Rica,Turkey,1,1,C,Incheon Football Stadium,Incheon
200229,2002-06-09T20:30,Japan,Russia,1,0,H,International Stadium Yokohama,Yokohama
200227,2002-06-09T15:30,Mexico,Ecuador,2,1,G,Miyagi Stadium,Rifu
200230,2002-06-10T15:30,Korea Republic,USA,1,1,D,Daegu World Cup Stadium,Daegu
200232,2002-06-10T20:30,Portugal,Poland,4,0,D,Jeonju World Cup Stadium,Jeonju
200231,2002-06-10T18:00,Tunisia,Belgium,1,1,H,Oita Stadium Big Eye,Oita
200233,2002-06-11T15:30,Denmark,France,2,0,A,Incheon Football Stadium,Incheon
200234,2002-06-11T15:30,Senegal,Uruguay,3,3,A,Suwon World Cup Stadium,Suwon
200236,2002-06-11T20:30,Saudi Arabia,Republic of Ireland,0,3,E,International Stadium Yokohama,Yokohama
200235,2002-06-11T20:30,Cameroon,Germany,0,2,E,Shizuoka Stadium Ecopa,Shizuoka
200237,2002-06-12T15:30,Sweden,Argentina,1,1,F,Miyagi Stadium,Rifu
200238,2002-06-12T15:30,Nigeria,England,0,0,F,Osaka Nagai Stadium,Osaka
200240,2002-06-12T20:30,Slovenia,Paraguay,1,3,B,Jeju World Cup Stadium,Jeju
200239,2002-06-12T20:30,South Africa,Spain,2,3,B,Daejeon World Cup Stadium,Daejeon
200241,2002-06-13T15:30,Costa Rica,Brazil,2,5,C,Suwon World Cup Stadium,Suwon
200242,2002-06-13T15:30,Turkey,China PR,3,0,C,Seoul World Cup Stadium,Seoul
200244,2002-06-13T20:30,Ecuador,Croatia,1,0,G,International Stadium Yokohama,Yokohama
200243,2002-06-13T20:30,Mexico,Italy,1,1,G,Oita Stadium Big Eye,Oita
200245,2002-06-14T15:30,Tunisia,Japan,0,2,H,Osaka Nagai Stadium,Osaka
200247,2002-06-14T20:30,Portugal,Korea Republic,0,1,D,Incheon Football Stadium,Incheon
200248,2002-06-14T20:30,Poland,USA,3,1,D,Daejeon World Cup Stadium,Daejeon
200246,2002-06-14T15:30,Belgium,Russia,3,2,H,Shizuoka Stadium Ecopa,Shizuoka
200250,2002-06-15T20:30,Denmark,England,0,3,Knock,Niigata Stadium Big Swan,Niigata
200249,2002-06-15T15:30,Germany,Paraguay,1,0,Knock,Jeju World Cup Stadium,Jeju
200252,2002-06-16T20:30,Spain,Republic of Ireland,1,1,Knock,Suwon World Cup Stadium,Suwon
200251,2002-06-16T15:30,Sweden,Senegal,1,2,Knock,Oita Stadium Big Eye,Oita
200254,2002-06-17T20:30,Brazil,Belgium,2,0,Knock,Kobe Wing Stadium,Kobe
200253,2002-06-17T15:30,Mexico,USA,0,2,Knock,Jeonju World Cup Stadium,Jeonju
200255,2002-06-18T15:30,Japan,Turkey,0,1,Knock,Miyagi Stadium,Rifu
200256,2002-06-18T20:30,Korea Republic,Italy,2,1,Knock,Daejeon World Cup Stadium,Daejeon
200257,2002-06-21T15:30,England,Brazil,1,2,Quarter,Shizuoka Stadium Ecopa,Shizuoka
200258,2002-06-21T20:30,Germany,USA,1,0,Quarter,Munsu Football Stadium,Ulsan
200260,2002-06-22T20:30,Senegal,Turkey,0,1,Quarter,Osaka Nagai Stadium,Osaka
200259,2002-06-22T15:30,Spain,Korea Republic,0,0,Quarter,Gwangju World Cup Stadium,Gwangju
200261,2002-06-25T20:30,Germany,Korea Republic,1,0,Semi,Seoul World Cup Stadium,Seoul
200262,2002-06-26T20:30,Brazil,Turkey,1,0,Semi,Saitama Stadium 2002,Saitama
200263,2002-06-29T20:00,Korea Republic,Turkey,2,3,Third,Daegu World Cup Stadium,Daegu
200264,2002-06-30T20:00,Germany,Brazil,0,2,Final,International Stadium Yokohama,Yokohama
199801,1998-06-10T17:30,Brazil,Scotland,2,1,A,Stade de France,Saint-Denis
199802,1998-06-10T21:00,Morocco,Norway,2,2,A,La Mosson,Montpellier
199804,1998-06-11T17:30,Italy,Chile,2,2,B,Stade du Parc Lescure,Bordeaux
199803,1998-06-11T21:00,Cameroon,Austria,1,1,B,Stade Municipal,Toulouse
199807,1998-06-12T14:30,Paraguay,Bulgaria,0,0,D,La Mosson,Montpellier
199805,1998-06-12T17:30,Saudi Arabia,Denmark,0,1,C,Stade Felix Bollaert,Lens
199806,1998-06-12T21:00,France,South Africa,3,0,C,Stade Vélodrome,Marseilles
199810,1998-06-13T14:30,Spain,Nigeria,2,3,D,La Beaujoire,Nantes
